Size,Random_InsertionSort,Sorted_InsertionSort,InverselySorted_InsertionSort,Random_BubbleSort,Sorted_BubbleSort,InverselySorted_BubbleSort,Random_SelectionSort,Sorted_SelectionSort,InverselySorted_SelectionSort,Random_HeapSort,Sorted_HeapSort,InverselySorted_HeapSort
1,100,0,100,100,100,100,0,0,0,100,100,100
2,100,100,0,0,100,0,100,100,100,200,200,100
3,100,100,0,100,100,0,200,100,100,200,300,200
4,100,100,0,100,100,100,200,100,100,500,300,400
5,100,0,100,0,0,0,200,200,200,400,400,400
6,100,0,0,100,100,0,200,300,300,600,600,500
7,100,100,100,100,100,100,300,300,200,600,600,600
8,200,100,100,100,100,100,400,500,400,1300,1000,1000
9,200,200,200,100,200,100,400,500,600,1400,1400,1500
10,100,100,100,100,100,100,600,500,400,1300,1200,1200
11,100,100,100,0,100,100,500,500,500,1400,1400,1400
12,100,100,100,100,100,100,500,500,600,1700,1600,1600
13,100,100,100,100,100,100,600,700,700,1800,1800,1700
14,100,200,100,100,100,100,600,600,600,2000,2000,1900
15,200,200,100,100,100,100,700,700,700,2100,2100,2000
16,200,100,100,100,0,100,800,900,800,2500,2300,2200
17,200,100,100,100,100,100,900,900,900,2800,2700,2600
18,200,100,100,100,100,100,900,900,900,2900,2700,2800
19,200,100,200,100,200,100,1000,1000,1000,3100,3200,4000
20,100,100,100,100,100,100,800,900,900,2700,2600,2500
21,100,100,100,100,100,100,1000,900,1000,2800,2800,2700
22,100,100,100,100,100,100,900,1000,1000,3000,2900,2900
23,100,100,100,100,100,200,1000,1100,1100,3200,3200,3100
24,100,200,100,100,100,100,1100,1100,1200,3200,3300,3300
25,100,100,200,100,100,100,1200,1200,1200,3500,3500,3400
26,100,200,100,100,100,100,1400,1300,1300,3800,3700,3700
27,200,100,100,100,100,100,1400,1300,1400,4000,4000,3800
28,100,100,100,200,100,200,1400,1400,1400,4200,3900,3900
29,100,100,100,100,100,100,1500,1500,1500,4000,5100,3500
30,100,100,100,100,100,100,1400,1400,1400,3800,3700,3700
